"",".groups","time","HR1","HR2","Resp1","Resp2"
"1997","1997",15.13054,1.11441755825817,-0.170592591526597,0.266335597298979,0.131722756569211
"1998","1998",15.132208,1.11441755825817,-0.304995142896798,0.288908656230801,0.118613837957379
"1999","1999",15.133876,1.16963516261661,-0.304995142896798,0.290402264171875,0.0909293308221671
"2000","2000",15.135542,1.18015280154203,-0.304995142896798,0.305606847585243,0.0516974224039358
"2001","2001",15.137208,1.18015280154203,-0.304995142896798,0.37025644308154,-0.0017139710687209
"2002","2002",15.138875,1.18015280154203,-0.304995142896798,0.440331778784343,-0.0494757604669419
"2003","2003",15.14054,1.18015280154203,-0.417061240283538,0.414263668562169,-0.0911930652827406
"2004","2004",15.142209,1.18015280154203,-0.418193221065223,0.290368519749924,-0.139736190854714
"2005","2005",15.143877,1.18015280154203,-0.418193221065223,0.179693056653824,-0.186249540931831
"2006","2006",15.145541,1.18015280154203,-0.418193221065223,0.166617274569356,-0.235142908936473
"2007","2007",15.147208,1.18015280154203,-0.418193221065223,0.23322883606968,-0.326540081543641
"2008","2008",15.148875,1.18015280154203,-0.461935369579702,0.310878016568619,-0.464504482452776
"2009","2009",15.150542,0.310615724577127,-0.517607194961767,0.332809133228225,-0.608301116274177
"2010","2010",15.152208,0.144989614679052,-0.517607194961767,0.292964155200141,-0.721761320044376
"2011","2011",15.153877,0.144989614679052,-0.517607194961767,0.218300594073065,-0.774608996453239
"2012","2012",15.15554,0.144989614679052,-0.517607194961767,0.173153024836434,-0.80019150545423
"2013","2013",15.157208,0.144989614679052,-0.517607194961767,0.210248013897118,-0.827126677227675
"2014","2014",15.158874,0.144989614679052,-0.543494717865688,0.271699363878934,-0.852348276858669
"2015","2015",15.160543,0.144989614679052,-0.544023034659646,0.249701556630569,-0.872021030810502
"2016","2016",15.162208,0.144989614679052,-0.544023034659646,0.166212559211889,-0.899823485736812
"2017","2017",15.163875,0.144989614679052,-0.544023034659646,0.0887960338027902,-0.957913180506516
"2018","2018",15.165541,0.144989614679052,-0.544023034659646,0.0506052581368085,-1.01939040921423
"2019","2019",15.167208,1.47379264508225,-0.532585773864281,0.0479518580417035,-1.08220270364492
"2020","2020",15.168875,1.72689798420667,-0.526427248820623,0.0887386320011484,-1.1553434469853
"2021","2021",15.170542,1.72689798420667,-0.526427248820623,0.18221757482767,-1.21725238091458
"2022","2022",15.172209,1.72689798420667,-0.526427248820623,0.338771373459431,-1.24987792212805
"2023","2023",15.173874,1.72689798420667,-0.526427248820623,0.531697740247524,-1.2749910179443
"2024","2024",15.175541,1.72689798420667,-0.514658017153887,0.674004934206086,-1.31905131214722
"2025","2025",15.177208,1.72689798420667,-0.472930741244551,0.712624735727068,-1.38633420833729
"2026","2026",15.178877,1.72689798420667,-0.472930741244551,0.685870996905765,-1.45102116604678
"2027","2027",15.180542,1.72689798420667,-0.472930741244551,0.658039903916101,-1.52299438931674
"2028","2028",15.182208,1.72689798420667,-0.472930741244551,0.674259142184785,-1.60971312474231
"2029","2029",15.183875,-0.174105550609062,-0.472930741244551,0.702193282656536,-1.70433463394059
"2030","2030",15.185541,-0.536201462002535,-0.54294512656996,0.666761059058578,-1.79350078603145
"2031","2031",15.187208,-0.536201462002535,-0.570172943085398,0.549151298673128,-1.84700145565474
"2032","2032",15.188877,-0.536201462002535,-0.570172943085398,0.366715165561547,-1.87447839913684
"2033","2033",15.190541,-0.536201462002535,-0.570172943085398,0.175347936204898,-1.89498269860437
"2034","2034",15.192207,-0.536201462002535,-0.570172943085398,0.0214183650711998,-1.92370814934985
"2035","2035",15.193875,-0.536201462002535,-0.452635752993446,-0.0945807268848969,-1.98451342894814
"2036","2036",15.195542,-0.536201462002535,-0.31465731245072,-0.161748200523623,-2.05401341748794
"2037","2037",15.197208,-0.536201462002535,-0.31465731245072,-0.133644670310542,-1.98095338957142
"2038","2038",15.198876,-0.536201462002535,-0.31465731245072,0.0312691238095742,-1.64584951512469
"2039","2039",15.200541,2.2439968289286,-0.31465731245072,0.362573890448667,-1.06103943204267
"2040","2040",15.202207,2.77355840815357,-0.31465731245072,0.759919030748991,-0.390190104237144
"2041","2041",15.203876,2.77355840815357,-0.258036555645951,1.08847968648128,0.162966623658382
"2042","2042",15.205542,2.77355840815357,-0.256285398218999,1.31189715010124,0.516306952342762
"2043","2043",15.207209,2.77355840815357,-0.256285398218999,1.42312877932601,0.695803515365655
"2044","2044",15.208875,2.77355840815357,-0.256285398218999,1.44261266342334,0.753331259570742
"2045","2045",15.210541,2.77355840815357,-0.256285398218999,1.40013039554031,0.744912939807909
"2046","2046",15.212208,2.77355840815357,-0.136716049989216,1.33312652792156,0.717616315126258
"2047","2047",15.213876,2.77355840815357,-0.135508278794976,1.26944761067906,0.695127897373326
"2048","2048",15.215542,2.77355840815357,-0.135508278794976,1.20462755142543,0.65679180786387
"2049","2049",15.217209,0.21047746310996,-0.135508278794976,1.12746595968152,0.606795261124166
"2050","2050",15.218875,-0.277728431184062,-0.133019162087874,1.05716943473548,0.570245170223355
"2051","2051",15.22054,-0.277728431184062,-0.1043943199562,1.00942216620426,0.550336316862496
"2052","2052",15.222209,-0.277728431184062,-0.1043943199562,0.983796942449117,0.539531049059989
"2053","2053",15.223876,-0.277728431184062,-0.1043943199562,0.965346726193239,0.52965095122948
"2054","2054",15.225542,-0.277728431184062,-0.1043943199562,0.948203761586884,0.520439269510046
"2055","2055",15.227207,-0.277728431184062,-0.1043943199562,0.938303873872895,0.509173488960957
"2056","2056",15.228875,-0.277728431184062,-0.127418649496894,0.927426196177464,0.496789582376091
"2057","2057",15.230541,-0.277728431184062,-0.135508278794976,0.906083611264146,0.485795774757743
"2058","2058",15.232208,-0.277728431184062,-0.135508278794976,0.886356041642278,0.476052784440159
"2059","2059",15.233876,2.26097911818571,-0.135508278794976,0.871343112031863,0.46387807212303
"2060","2060",15.235542,2.74454246092281,-0.135508278794976,0.850740146792797,0.449967094943272
"2061","2061",15.237207,2.74454246092281,-0.186015275653562,0.801735263568221,0.427223621886316
"2062","2062",15.238875,2.74454246092281,-0.206644894088759,0.744881210091846,0.386590064314649
"2063","2063",15.240543,2.74454246092281,-0.206644894088759,0.717028346507376,0.347191221724339
"2064","2064",15.242208,2.74454246092281,-0.206644894088759,0.711547381558708,0.32001621371669
"2065","2065",15.243876,2.74454246092281,-0.206644894088759,0.709062268161463,0.298204093378847
"2066","2066",15.245541,2.74454246092281,-0.286390591098843,0.70050555357843,0.280352260365511
"2067","2067",15.247208,2.74454246092281,-0.463889077992257,0.672574606127251,0.26659659922864
"2068","2068",15.248875,2.74454246092281,-0.463889077992257,0.621526915423263,0.260075567522505
"2069","2069",15.250543,0.0418725983767809,-0.463889077992257,0.561134632310169,0.245930800971105
"2070","2070",15.252208,-0.472921661155796,-0.463889077992257,0.595219836638755,0.188902908090392
"2071","2071",15.253875,-0.472921661155796,-0.463889077992257,0.717938212233019,0.0496969300300262
"2072","2072",15.25554,-0.472921661155796,-0.548246909698585,0.869196966795767,-0.147797745726384
"2073","2073",15.257208,-0.472921661155796,-0.704911454296051,0.986182273953496,-0.328020611679487
"2074","2074",15.258876,-0.472921661155796,-0.704911454296051,1.02004556335235,-0.473349751477858
"2075","2075",15.260542,-0.472921661155796,-0.704911454296051,0.995795588071173,-0.593355446173543
"2076","2076",15.262208,-0.472921661155796,0.774713301500728,0.943092316200745,-0.68940571349337
"2077","2077",15.263875,-0.472921661155796,1.29458145894284,0.878197075826373,-0.774457756946911
"2078","2078",15.26554,-0.472921661155796,1.29458145894284,0.818612626917926,-0.853689932982415
"2079","2079",15.267209,0.65642394126702,1.4606524358542,0.769764999956508,-0.922832884861947
"2080","2080",15.268877,0.871537389347556,2.0166291846444,0.711702170487787,-0.974438440581373
"2081","2081",15.270541,0.871537389347556,2.0166291846444,0.638681781288112,-1.0265876024509
"2082","2082",15.272208,0.871537389347556,2.0166291846444,0.555208313560395,-1.10614916264035
"2083","2083",15.273875,0.871537389347556,2.0166291846444,0.496239609641746,-1.20641606349195
"2084","2084",15.275542,0.871537389347556,1.51256709557991,0.486610475558509,-1.30031772427623
"2085","2085",15.277208,0.871537389347556,0.216407437985482,0.50890922499576,-1.37576993178768
"2086","2086",15.278877,0.871537389347556,0.216407437985482,0.515541564135133,-1.42493133207105
"2087","2087",15.28054,0.871537389347556,0.216407437985482,0.478026112320071,-1.46544436004514
"2088","2088",15.282208,0.871537389347556,0.216407437985482,0.485117738441227,-1.51486631895689
"2089","2089",15.283874,0.261237258626012,0.216407437985482,0.630062585097982,-1.54916079423749
"2090","2090",15.285543,0.144989614679052,0.216407437985482,0.860094971381462,-1.56857672638613
"2091","2091",15.287208,0.144989614679052,-0.894929719549899,1.0584715340109,-1.59676522932455
"2092","2092",15.288875,0.144989614679052,-1.28539953165692,1.18359976931302,-1.66348991177518
"2093","2093",15.290541,0.144989614679052,-1.28539953165692,1.22935677006696,-1.75062425010291
"2094","2094",15.292208,0.144989614679052,-1.28539953165692,1.22107545350824,-1.85113587903258
"2095","2095",15.293875,0.144989614679052,-1.28539953165692,1.19152158078283,-1.95968005148209
"2096","2096",15.295542,0.144989614679052,-1.28539953165692,1.13878275027421,-2.054873362875
"2097","2097",15.297209,0.144989614679052,-1.28539953165692,1.04382638231542,-2.12939489709009
"2098","2098",15.298874,0.144989614679052,-1.28539953165692,0.928608629750094,-2.19448611134165
"2099","2099",15.300541,0.912206960911393,-1.28539953165692,0.832405387258046,-2.25953588080486
"2100","2100",15.302208,1.05834359828898,-1.28539953165692,0.763730045938646,-2.38918990863923
"2101","2101",15.303877,1.05834359828898,-1.28539953165692,0.719832253981248,-2.61375935716354
"2102","2102",15.305542,1.05834359828898,-1.28539953165692,0.687529335680881,-2.92070011577887
