"","Resp1","Resp2","HR1","HR2","Resp1S","Resp2S","HR1S","HR2S"
"35",-0.643846677617689,-0.684580443195028,-0.780574372045929,-0.811312311439119,-0.643846677617689,-0.684580443195028,-0.780574372045929,-0.811312311439119
"36",-0.44382384108985,-0.704965801526214,-0.780574372045929,-0.811312311439119,-0.44382384108985,-0.704965801526214,-0.780574372045929,-0.811312311439119
"37",-0.291235970807724,-0.726635921565917,-0.780574372045929,-0.811312311439119,-0.291235970807724,-0.726635921565917,-0.780574372045929,-0.811312311439119
"38",-0.278116198192749,-0.726352742364508,-0.780574372045929,-0.811312311439119,-0.278116198192749,-0.726352742364508,-0.780574372045929,-0.811312311439119
"39",-0.471784247539474,-0.71892061739137,-0.794705768252356,-0.811312311439119,-0.471784247539474,-0.71892061739137,-0.794705768252356,-0.811312311439119
"40",-0.69703323901013,-0.683662503105356,-0.807750133981368,-0.811312311439119,-0.69703323901013,-0.683662503105356,-0.807750133981368,-0.811312311439119
"41",-0.792079563667577,-0.604975190067156,-0.807750133981368,-0.811312311439119,-0.792079563667577,-0.604975190067156,-0.807750133981368,-0.811312311439119
"42",-0.788724307976283,-0.517724452918273,-0.807750133981368,-0.839485365928968,-0.788724307976283,-0.517724452918273,-0.807750133981368,-0.839485365928968
"43",-0.78971590864291,-0.452977424647284,-0.807750133981368,-0.84743161206713,-0.78971590864291,-0.452977424647284,-0.807750133981368,-0.84743161206713
"44",-0.872916807618129,-0.413740270443607,-0.807750133981368,-0.84743161206713,-0.872916807618129,-0.413740270443607,-0.807750133981368,-0.84743161206713
"45",-0.985564995242423,-0.398319940188181,-0.807750133981368,-0.84743161206713,-0.985564995242423,-0.398319940188181,-0.807750133981368,-0.84743161206713
"46",-0.99293905244954,-0.406405255734783,-0.807750133981368,-0.84743161206713,-0.99293905244954,-0.406405255734783,-0.807750133981368,-0.84743161206713
"47",-0.866831796690927,-0.446382078265544,-0.807750133981368,-0.84743161206713,-0.866831796690927,-0.446382078265544,-0.807750133981368,-0.84743161206713
"48",-0.706379948607238,-0.475434350478135,-0.807750133981368,0.0705869305193342,-0.706379948607238,-0.475434350478135,-0.807750133981368,0.0705869305193342
"49",-0.589429867334008,-0.484625447136617,-0.632382953741606,0.375472306342503,-0.589429867334008,-0.484625447136617,-0.632382953741606,0.375472306342503
"50",-0.522321986572179,-0.467171472002992,-0.470505556597213,1.3785262898671,-0.522321986572179,-0.467171472002992,-0.470505556597213,1.3785262898671
"51",-0.461197085974853,-0.463309744119953,-0.470505556597213,1.3785262898671,-0.461197085974853,-0.463309744119953,-0.470505556597213,1.3785262898671
"52",-0.335851775200049,-0.444271170476319,-0.470505556597213,1.3785262898671,-0.335851775200049,-0.444271170476319,-0.470505556597213,1.3785262898671
"53",-0.168464602188842,-0.407876440797419,-0.470505556597213,1.3785262898671,-0.168464602188842,-0.407876440797419,-0.470505556597213,1.3785262898671
"54",0.00527130533111475,-0.37352846942657,-0.470505556597213,1.3785262898671,0.00527130533111475,-0.37352846942657,-0.470505556597213,1.3785262898671
"55",0.155257909964935,-0.363509454602269,-0.470505556597213,1.3785262898671,0.155257909964935,-0.363509454602269,-0.470505556597213,1.3785262898671
"56",0.273715971324138,-0.347445148615981,-0.470505556597213,1.3785262898671,0.273715971324138,-0.347445148615981,-0.470505556597213,1.3785262898671
"57",0.33112435815682,-0.344524752346137,-0.470505556597213,1.3785262898671,0.33112435815682,-0.344524752346137,-0.470505556597213,1.3785262898671
"58",0.360399923844269,-0.328616035432962,-0.470505556597213,0.0466696950971151,0.360399923844269,-0.328616035432962,-0.470505556597213,0.0466696950971151
"59",0.358495234318245,-0.315660675572779,0.0707613849289635,-0.735531797069384,0.358495234318245,-0.315660675572779,0.0707613849289635,-0.735531797069384
"60",0.307039218421258,-0.287645073152577,0.570392407876202,-0.735531797069384,0.307039218421258,-0.287645073152577,0.570392407876202,-0.735531797069384
"61",0.247007257519273,-0.277483937102035,0.570392407876202,0.0154540448448538,0.247007257519273,-0.277483937102035,0.570392407876202,0.0154540448448538
"62",0.202623529878713,-0.305225575163427,0.570392407876202,0.86231041976942,0.202623529878713,-0.305225575163427,0.570392407876202,0.86231041976942
"63",0.170937617122649,-0.339330416456469,0.570392407876202,0.86231041976942,0.170937617122649,-0.339330416456469,0.570392407876202,0.86231041976942
"64",0.161645381576813,-0.363705092798984,0.570392407876202,1.04298597430361,0.161645381576813,-0.363705092798984,0.570392407876202,1.04298597430361
"65",0.138290539995272,-0.390906599317267,0.570392407876202,1.3785262898671,0.138290539995272,-0.390906599317267,0.570392407876202,1.3785262898671
"66",0.092687977074213,-0.39411478220982,0.570392407876202,1.3785262898671,0.092687977074213,-0.39411478220982,0.570392407876202,1.3785262898671
"67",0.0511113059423173,-0.366725434669329,0.570392407876202,1.3785262898671,0.0511113059423173,-0.366725434669329,0.570392407876202,1.3785262898671
"68",-0.0028985918250451,-0.309006495965213,0.570392407876202,1.3785262898671,-0.0028985918250451,-0.309006495965213,0.570392407876202,1.3785262898671
"69",-0.137015781255929,-0.247348566467036,0.848470711762676,1.3785262898671,-0.137015781255929,-0.247348566467036,0.848470711762676,1.3785262898671
"70",-0.26586126599176,-0.204906064706988,1.10515837688865,1.3785262898671,-0.26586126599176,-0.204906064706988,1.10515837688865,1.3785262898671
"71",-0.327877638761471,-0.191066434374319,1.10515837688865,1.3785262898671,-0.327877638761471,-0.191066434374319,1.10515837688865,1.3785262898671
"72",-0.370619535790074,-0.200180268121779,1.10515837688865,1.3785262898671,-0.370619535790074,-0.200180268121779,1.10515837688865,1.3785262898671
"73",-0.378413821392711,-0.240468623215793,1.10515837688865,-0.146579979516027,-0.378413821392711,-0.240468623215793,1.10515837688865,-0.146579979516027
"74",-0.344343328658951,-0.278839227798139,1.10515837688865,-0.710660380520746,-0.344343328658951,-0.278839227798139,1.10515837688865,-0.710660380520746
"75",-0.298263988089149,-0.299317797806382,1.10515837688865,-0.710660380520746,-0.298263988089149,-0.299317797806382,1.10515837688865,-0.710660380520746
"76",-0.255647986645705,-0.326456218094559,1.10515837688865,-0.710660380520746,-0.255647986645705,-0.326456218094559,1.10515837688865,-0.710660380520746
"77",-0.233115097971118,-0.368228517264039,1.10515837688865,-0.710660380520746,-0.233115097971118,-0.368228517264039,1.10515837688865,-0.710660380520746
"78",-0.240861308061839,-0.408351714025316,1.10515837688865,-0.710660380520746,-0.240861308061839,-0.408351714025316,1.10515837688865,-0.710660380520746
"79",-0.244972283131082,-0.431148525781261,1.23275454458669,-0.710660380520746,-0.244972283131082,-0.431148525781261,1.23275454458669,-0.710660380520746
"80",-0.208368487612981,-0.433169411646633,1.35053562246179,-0.669497642012763,-0.208368487612981,-0.433169411646633,1.35053562246179,-0.669497642012763
"81",-0.191548975782484,-0.427115614476096,1.35053562246179,-0.617108702093513,-0.191548975782484,-0.427115614476096,1.35053562246179,-0.617108702093513
"82",-0.214622108698881,-0.415410992290216,1.35053562246179,-0.617108702093513,-0.214622108698881,-0.415410992290216,1.35053562246179,-0.617108702093513
"83",-0.239556351900283,-0.418393057122069,1.35053562246179,-0.617108702093513,-0.239556351900283,-0.418393057122069,1.35053562246179,-0.617108702093513
"84",-0.249406297971037,-0.450793506951316,1.35053562246179,-0.617108702093513,-0.249406297971037,-0.450793506951316,1.35053562246179,-0.617108702093513
